,상품명,가격정보
0,오리 영양도시락,"6,900원"
1,통살 오징어튀김,"2,900원"
2,열무 감초고추장 비빔밥,"4,500원"
3,열무 두부강된장 비빔밥,"4,900원"
4,[8월할인메뉴] 토네이도 소세지,"1,000원"
5,[8월할인메뉴] 토핑-계란후라이,800원
6,[8월할인메뉴] 치킨2조각,"1,300원"
7,[8월할인메뉴] 토핑-스팸,800원
8,[8월할인메뉴] 빅치킨마요,"3,600원"
9,[8월할인메뉴] 치킨마요,"3,000원"
10,[8월할인메뉴] 카츠카츠 도시락,"3,900원"
11,[8월할인메뉴] 핫 치즈 닭갈비 덮밥,"4,900원"
12,[8월할인메뉴] 오리지널 치즈 닭갈비 덮밥,"4,900원"
13,[8월할인메뉴] 돈까스도련님 고기고기,"5,500원"
14,[8월행사메뉴] 숯불직화구이 덮밥,"4,900원"
15,[8월할인메뉴] 진달래,"6,700원"
16,[8월할인메뉴] 통현미 닭강정(소),"2,900원"
17,[8월할인메뉴] 스팸 김치볶음밥,"3,900원"
18,해바라기,"10,000원"
19,매화,"10,500원"
20,진달래,"7,800원"
21,개나리,"8,500원"
22,돈까스도련님고기고기,"6,500원"
23,탕수육도련님고기고기,"6,000원"
24,새치 고기고기,"7,000원"
25,돈치 고기고기,"6,000원"
26,카츠카츠 도시락,"4,800원"
27,숯불직화구이,"6,600원"
28,소불고기,"5,500원"
29,메가치킨제육,"7,500원"
30,칠리 찹쌀탕수육도련님,"4,400원"
31,동백,"6,000원"
32,치킨제육,"4,900원"
33,돈까스도련님,"4,800원"
34,제육볶음,"4,500원"
35,돈치스팸 도시락,"5,000원"
36,제육 김치찌개 정식,"8,600원"
37,제육 김치 부대찌개 정식,"9,000원"
38,돈치스팸 김치 부대찌개 정식,"9,000원"
39,빅치킨마요 김치 부대찌개 정식,"8,000원"
40,치킨마요 김치 부대찌개 정식,"7,400원"
41,빅치킨마요 김치찌개 정식,"7,500원"
42,치킨마요 김치찌개 정식,"6,900원"
43,새후마요,"4,500원"
44,메가스팸마요,"5,800원"
45,스팸마요,"3,900원"
46,메가치킨마요,"6,000원"
47,왕치킨마요,"5,000원"
48,빅치킨마요,"4,300원"
49,치킨마요,"3,700원"
50,참치마요,"3,500원"
51,돈치마요,"4,000원"
52,돈까스 카레,"4,700원"
53,스팸 김치볶음밥,"4,700원"
54,김치볶음밥,"3,900원"
55,스팸철판볶음밥,"4,700원"
56,소불고기 철판볶음밥,"4,900원"
57,나시고랭,"6,200원"
58,묵은지 김치찌개,"4,900원"
59,김치 부대찌개,"6,000원"
60,핫 치즈 닭갈비덮밥,"5,900원"
61,오리지널 치즈 닭갈비덮밥,"5,900원"
62,숯불직화구이 덮밥,"6,000원"
63,마파두부 덮밥,"5,000원"
64,왕카레돈까스덮밥,"6,000원"
65,새우돈까스 덮밥,"4,200원"
66,돈까스 덮밥,"4,100원"
67,아보카도 훈제 닭가슴살 명란 비빔밥,"6,500원"
68,아보카도 소불고기 명란 비빔밥,"6,500원"
69,소불고기 감초고추장 비빔밥,"5,400원"
70,시골제육 두부강된장 비빔밥,"5,200원"
71,참치야채 감초고추장,"3,500원"
72,튼튼도시락,"5,000원"
73,반찬 묵은지김치찌개,"4,400원"
74,반찬 카레,"2,900원"
75,반찬 순살 고등어 간장구이,"3,900원"
76,반찬 김치 부대찌개,"4,900원"
77,반찬 치킨,"3,800원"
78,반찬 고기고기,"3,600원"
79,반찬 돈까스 도련님,"4,100원"
80,반찬 제육볶음,"3,500원"
81,반찬 토네이도 소세지,"2,800원"
82,반찬 반달돈까스,"2,900원"
83,치즈버터 해시 포테이토 스틱,"2,200원"
84,허니버터 해시 포테이토 스틱,"2,200원"
85,해시 포테이토 스틱,"2,000원"
86,뉴 감자고로케,"2,700원"
87,미니 찹쌀핫도그,"2,800원"
88,미니 찹쌀탕수육,"2,200원"
89,케이준후라이,"1,900원"
90,통현미 닭강정(소),"3,500원"
91,통현미 닭강정(중),"8,500원"
92,후라이드 순살(중),"7,500원"
93,후라이드 순살(소)_양념치킨소스,"4,000원"
94,후라이드 순살(소)_케이준소스,"4,000원"
95,오리지널 닭강정(중),"8,500원"
96,오리지널 닭강정(소),"3,500원"
97,반찬 무생채,400원
98,3종 미니반찬B,"1,300원"
99,3종 미니반찬A,"1,300원"
100,반찬 열무김치,500원
101,오징어젓갈,600원
102,한솥 두부강된장소스,"1,800원"
103,한솥 감초볶음고추장소스,500원
104,볶음김치,500원
105,김치,400원
106,무말랭이 무침,500원
107,한솥밥,"1,000원"
108,현미밥,"1,700원"
109,리얼 티라미수 찰떡,"1,700원"
110,리얼꿀 미니호떡,"2,200원"
